adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
25,200,10,0.005,0.2,True,-23.73,-4.27,-0.682,-0.19,-29.08,-0.147,33.76,0.779,157,7626.93,66.24
35,100,10,0.005,0.2,True,-18.07,-3.16,-0.691,-0.143,-22.21,-0.142,34.34,0.727,99,8193.16,64.65
35,200,10,0.005,0.2,True,-17.85,-3.12,-0.692,-0.134,-22.32,-0.14,32.14,0.698,84,8214.59,67.86
35,200,10,0.01,0.2,True,-16.76,-2.91,-0.694,-0.117,-20.61,-0.141,26.32,0.629,57,8324.1,73.68
35,100,20,0.01,0.2,True,-14.11,-2.42,-0.694,-0.103,-17.59,-0.138,26.09,0.597,46,8589.04,73.91
30,100,20,0.01,0.2,True,-16.25,-2.82,-0.695,-0.122,-18.52,-0.152,28.12,0.655,64,8375.27,71.88
30,100,20,0.002,0.25,True,-22.39,-4.0,-0.698,-0.171,-28.39,-0.141,33.33,0.755,123,7761.04,66.67
25,50,10,0.01,0.25,True,-27.08,-4.96,-0.707,-0.192,-31.68,-0.157,30.71,0.761,140,7291.51,69.29
25,100,20,0.005,0.25,True,-26.09,-4.75,-0.709,-0.201,-30.14,-0.158,30.46,0.773,151,7391.48,68.87
30,200,30,0.002,0.25,True,-21.44,-3.81,-0.709,-0.167,-24.37,-0.156,28.0,0.715,100,7856.37,70.0
35,100,20,0.005,0.2,True,-17.24,-3.0,-0.714,-0.136,-19.96,-0.15,33.33,0.693,84,8275.74,66.67
30,200,30,0.01,0.2,True,-15.73,-2.72,-0.724,-0.115,-16.86,-0.161,26.42,0.607,53,8426.98,71.7
25,200,20,0.002,0.25,True,-25.2,-4.57,-0.725,-0.197,-29.75,-0.154,30.94,0.754,139,7480.22,69.06
35,100,10,0.01,0.2,True,-17.58,-3.07,-0.732,-0.128,-22.46,-0.137,26.98,0.633,63,8242.35,73.02
25,50,20,0.01,0.25,True,-21.93,-3.91,-0.736,-0.159,-27.23,-0.144,29.35,0.696,92,7806.71,70.65
30,50,20,0.01,0.25,True,-20.5,-3.63,-0.737,-0.145,-23.02,-0.158,28.57,0.669,77,7949.75,71.43
35,50,30,0.01,0.2,True,-14.54,-2.5,-0.74,-0.107,-16.37,-0.153,26.09,0.575,46,8546.19,73.91
35,100,10,0.002,0.2,True,-20.38,-3.61,-0.741,-0.167,-22.56,-0.16,34.21,0.723,114,7961.72,64.91
35,200,20,0.005,0.15,True,-14.36,-2.47,-0.741,-0.126,-16.45,-0.15,32.86,0.641,70,8563.81,67.14
