min_size_pct,min_bars_in,rr_ratio,risk_per_trade,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital
7.0,5,2.5,0.05,85.89,10.48,0.616,0.101,-19.82,0.529,50.0,1.875,36,18588.77
7.0,8,2.5,0.03,85.03,10.4,0.921,0.158,-12.29,0.846,56.67,2.854,30,18503.47
7.0,4,4.0,0.05,82.19,10.12,0.498,0.109,-33.68,0.301,41.46,1.696,41,18218.98
7.0,5,3.0,0.05,81.26,10.03,0.599,0.097,-15.33,0.654,51.52,1.954,33,18126.02
7.0,8,1.5,0.05,79.31,9.84,0.72,0.098,-19.82,0.496,55.88,2.021,34,17930.85
7.0,5,2.0,0.15,76.21,9.53,0.413,0.063,-55.53,0.172,44.74,1.477,38,17621.19
7.0,10,4.0,0.03,74.43,9.36,0.755,0.144,-9.22,1.014,53.85,2.842,26,17443.43
7.0,5,2.0,0.1,71.9,9.1,0.413,0.063,-40.52,0.225,44.74,1.477,38,17190.05
7.0,8,4.0,0.03,70.97,9.0,0.725,0.138,-9.22,0.976,51.85,2.633,27,17097.39
7.0,4,3.0,0.1,70.61,8.97,0.392,0.072,-55.22,0.162,41.86,1.467,43,17060.79
4.0,10,1.5,0.08,70.59,8.96,0.41,0.091,-62.68,0.143,46.73,1.284,107,17058.78
4.0,10,4.0,0.08,70.49,8.95,0.397,0.12,-65.5,0.137,34.83,1.359,89,17048.53
4.0,10,1.5,0.1,69.43,8.84,0.41,0.091,-71.44,0.124,46.73,1.284,107,16942.73
4.0,10,4.0,0.05,66.7,8.56,0.397,0.12,-46.04,0.186,34.83,1.359,89,16669.84
7.0,4,3.0,0.08,65.05,8.39,0.392,0.072,-45.68,0.184,41.86,1.467,43,16505.01
7.0,6,4.0,0.03,64.6,8.34,0.674,0.126,-11.72,0.712,53.33,2.352,30,16460.2
7.0,10,3.0,0.03,63.68,8.24,0.781,0.129,-10.35,0.796,55.56,2.682,27,16367.7
7.0,5,2.0,0.08,62.82,8.15,0.413,0.063,-33.72,0.242,44.74,1.477,38,16281.92
7.0,8,3.0,0.03,62.12,8.08,0.761,0.124,-9.41,0.858,53.57,2.557,28,16212.08
7.0,4,3.0,0.15,60.58,7.91,0.392,0.072,-74.18,0.107,41.86,1.467,43,16058.03
7.0,4,2.5,0.1,59.87,7.83,0.372,0.067,-48.9,0.16,41.3,1.403,46,15987.43
7.0,6,2.0,0.05,59.3,7.77,0.519,0.079,-22.36,0.348,47.22,1.649,36,15929.75
7.0,6,2.5,0.03,58.62,7.7,0.715,0.117,-12.29,0.626,52.94,2.134,34,15861.8
7.0,10,2.0,0.03,58.09,7.64,0.795,0.12,-13.21,0.578,56.67,2.35,30,15808.68
7.0,4,2.5,0.08,56.73,7.49,0.372,0.067,-41.24,0.182,41.3,1.403,46,15672.84
7.0,8,2.0,0.03,56.65,7.48,0.772,0.116,-12.29,0.608,54.84,2.259,31,15664.69
7.0,6,3.0,0.03,56.08,7.42,0.699,0.112,-9.41,0.788,54.84,2.267,31,15607.89
4.0,10,4.0,0.1,55.98,7.41,0.397,0.12,-75.63,0.098,34.83,1.359,89,15598.27
4.0,10,1.5,0.05,55.3,7.33,0.41,0.091,-45.16,0.162,46.73,1.284,107,15529.62
7.0,5,2.0,0.2,54.84,7.28,0.413,0.063,-68.6,0.106,44.74,1.477,38,15484.05
7.0,5,4.0,0.03,54.3,7.22,0.59,0.111,-11.72,0.616,50.0,2.044,32,15429.69
4.0,10,2.5,0.08,54.15,7.2,0.367,0.095,-65.75,0.11,38.95,1.285,95,15414.76
7.0,4,2.0,0.1,54.13,7.2,0.362,0.06,-48.9,0.147,43.48,1.372,46,15413.36
7.0,10,2.5,0.02,52.95,7.07,0.942,0.162,-8.97,0.788,58.62,2.991,29,15295.18
7.0,8,2.5,0.02,52.01,6.96,0.921,0.158,-8.33,0.836,56.67,2.854,30,15200.54
4.0,10,2.5,0.05,51.18,6.87,0.367,0.095,-45.84,0.15,38.95,1.285,95,15118.06
7.0,4,2.0,0.08,50.56,6.8,0.362,0.06,-41.24,0.165,43.48,1.372,46,15055.73
7.0,4,4.0,0.03,49.3,6.65,0.498,0.109,-21.15,0.315,41.46,1.696,41,14930.38
7.0,5,2.5,0.03,48.69,6.58,0.616,0.101,-12.29,0.535,50.0,1.875,36,14868.76
7.0,10,1.5,0.03,47.21,6.41,0.766,0.104,-13.21,0.485,57.58,2.132,33,14720.5
7.0,4,3.0,0.05,47.04,6.39,0.392,0.072,-29.83,0.214,41.86,1.467,43,14703.85
7.0,6,1.5,0.1,46.94,6.38,0.351,0.048,-51.84,0.123,47.5,1.376,40,14694.46
4.0,10,4.0,0.03,46.66,6.35,0.397,0.12,-29.91,0.212,34.83,1.359,89,14665.58
7.0,10,4.0,0.02,46.42,6.32,0.755,0.144,-6.22,1.017,53.85,2.842,26,14641.77
7.0,5,3.0,0.03,46.31,6.31,0.599,0.097,-9.41,0.67,51.52,1.954,33,14630.74
